store_id,name,prefecture,address,latitude,longitude,source_url
a-hineno,GiGOイオンモール日根野,大阪府,大阪府泉佐野市日根野2496-1 イオンモール日根野2F,34.393414,135.334000,https://www.gigo.co.jp/shops/a-hineno
a-kounoike,GiGOイオン鴻池,大阪府,大阪府東大阪市鴻池町1-1-72 イオン鴻池店2F,34.698421,135.602402,https://www.gigo.co.jp/shops/a-kounoike
tsukuno,GiGOイトーヨーカドー津久野,大阪府,大阪府堺市西区下田町20-1 イトーヨーカドー津久野店2F,34.541790,135.464508,https://www.gigo.co.jp/shops/tsukuno
neyagawa-neyaminami,GiGOビバモール寝屋川,大阪府,大阪府寝屋川市寝屋南2-22-2,34.766487,135.651672,https://www.gigo.co.jp/shops/neyagawa-neyaminami
higashiosaka,GiGOフレスポ東大阪,大阪府,大阪府東大阪市稲田新町3-9-64,34.692265,135.591400,https://www.gigo.co.jp/shops/higashiosaka
kishiwada-haruki,GiGOラパーク岸和田,大阪府,大阪府岸和田市春木若松町21-1 ラパーク岸和田店2F,34.478291,135.392151,https://www.gigo.co.jp/shops/kishiwada-haruki
imafuku,GiGO今福,大阪府,大阪府大阪市城東区今福東1-9-34,34.700684,135.557495,https://www.gigo.co.jp/shops/imafuku
izumi,GiGO和泉,大阪府,大阪府和泉市肥子町2丁目4-41,34.486607,135.417770,https://www.gigo.co.jp/shops/izumi
osaka-ekimae4,GiGO大阪第4ビル,大阪府,大阪府大阪市北区梅田1-11-4 駅前第4ビルB1F,34.699581,135.499298,https://www.gigo.co.jp/shops/osaka-ekimae4
dotonbori,GiGO大阪道頓堀本店,大阪府,大阪府大阪市中央区道頓堀1-8-22,34.668686,135.501740,https://www.gigo.co.jp/shops/dotonbori
fuse,GiGO布施,大阪府,大阪府東大阪市長堂1-1-1 ロンモール布施内,34.664043,135.561966,https://www.gigo.co.jp/shops/fuse
shin-mikuni,GiGO新三国アルゴ７,大阪府,大阪府豊中市神州町1-15 アルゴセブンビル2F,34.739021,135.478485,https://www.gigo.co.jp/shops/shin-mikuni
higashi-umeda,GiGO東梅田,大阪府,大阪府大阪市北区堂山町9-28,34.703194,135.504150,https://www.gigo.co.jp/shops/higashi-umeda
hirakata,GiGO枚方,大阪府,大阪府枚方市須山町83-1 サンシャインプラザ枚方内,34.819550,135.675140,https://www.gigo.co.jp/shops/hirakata
namba-avion,GiGO難波アビオン,大阪府,大阪府大阪市浪速区難波中2-3-15 ＭＭＯビル,34.662827,135.503281,https://www.gigo.co.jp/shops/namba-avion
amagasaki,GiGOあまがさきキューズモール,兵庫県,兵庫県尼崎市潮江1-3-1 あまがさきキューズモール4F,34.733112,135.431763,https://www.gigo.co.jp/shops/amagasaki
tsukashin,GiGOつかしん,兵庫県,兵庫県尼崎市塚口本町4-8-1,34.761581,135.417938,https://www.gigo.co.jp/shops/tsukashin
llp-koshien,GiGOららぽーと甲子園,兵庫県,兵庫県西宮市甲子園8番町1-100 ららぽーと甲子園2F,34.717068,135.362610,https://www.gigo.co.jp/shops/llp-koshien
kakogawa-befu,GiGOアリオ加古川,兵庫県,兵庫県加古川市別府町緑町2 アリオ加古川店3F,34.728249,134.849670,https://www.gigo.co.jp/shops/kakogawa-befu
